color_name,hex,R,G,B
Black,#000000,0,0,0
White,#FFFFFF,255,255,255
Red,#FF0000,255,0,0
Lime,#00FF00,0,255,0
Blue,#0000FF,0,0,255
Yellow,#FFFF00,255,255,0
Cyan,#00FFFF,0,255,255
Magenta,#FF00FF,255,0,255
Silver,#C0C0C0,192,192,192
Gray,#808080,128,128,128
Maroon,#800000,128,0,0
Olive,#808000,128,128,0
Green,#008000,0,128,0
Purple,#800080,128,0,128
Teal,#008080,0,128,128
Navy,#000080,0,0,128
Orange,#FFA500,255,165,0
Pink,#FFC0CB,255,192,203
Brown,#A52A2A,165,42,42
Gold,#FFD700,255,215,0
Coral,#FF7F50,255,127,80
Salmon,#FA8072,250,128,114
Khaki,#F0E68C,240,230,140
Violet,#EE82EE,238,130,238
Indigo,#4B0082,75,0,130
Turquoise,#40E0D0,64,224,208
Beige,#F5F5DC,245,245,220
Ivory,#FFFFF0,255,255,240
Lavender,#E6E6FA,230,230,250
Crimson,#DC143C,220,20,60
Chocolate,#D2691E,210,105,30
SkyBlue,#87CEEB,135,206,235
SteelBlue,#4682B4,70,130,180
ForestGreen,#228B22,34,139,34
SeaGreen,#2E8B57,46,139,87
Tan,#D2B48C,210,180,140
Plum,#DDA0DD,221,160,221
Orchid,#DA70D6,218,112,214
SalmonPink,#FF91A4,255,145,164
Charcoal,#36454F,54,69,79
Mint,#98FF98,152,255,152
